Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A2V5VW09	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	178	IPR029499	2..175
A0A2V5WRW8	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V5XF53	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V5Y2A6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	173	IPR029499	2..172
A0A2V5YFS2	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V5YS09	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..177
A0A2V5ZF46	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..175
A0A2V6ACW4	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	187	IPR029499	2..182
A0A2V6AFJ1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..178
A0A2V6AVC2	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6B2P0	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..178
A0A2V6BF38	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	172	IPR029499	1..168
A0A2V6BFK6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6BQI0	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	48	IPR029499	2..47
A0A2V6C2N4	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..179
A0A2V6C8A2	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	184	IPR029499	2..177
A0A2V6CUK3	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	164	IPR029499	1..162
A0A2V6D7K3	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..179
A0A2V6DBQ8	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6DJS8	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	141	IPR029499	4..135
A0A2V6DUH3	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	175	IPR029499	2..173
A0A2V6E0G7	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	160	IPR029499	2..160
A0A2V6ELK4	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6ERK1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6ESY9	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	183	IPR029499	2..180
A0A2V6F810	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	177	IPR029499	2..175
A0A2V6F9A1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	177	IPR029499	2..175
A0A2V6FKR9	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6FW78	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6G4I6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	182	IPR029499	2..177
A0A2V6G711	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	186	IPR029499	2..179
A0A2V6GDP5	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	108	IPR029499	2..100
A0A2V6GFU7	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	72	IPR029499	5..70
A0A2V6GXL1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..176
A0A2V6H4V9	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6HC10	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..177
A0A2V6HCP0	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	186	IPR029499	2..179
A0A2V6I0R6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	173	IPR029499	2..172
A0A2V6I8J9	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6J087	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	180	IPR029499	2..177
A0A2V6J3L4	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	62	IPR029499	2..56
A0A2V6J3N1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	186	IPR029499	2..179
A0A2V6JKA6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6JTD1	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6K5D8	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	151	IPR029499	1..148
A0A2V6KID0	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	187	IPR029499	2..181
A0A2V6KQ93	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..178
A0A2V6L3M0	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	130	IPR029499	2..130
A0A2V6LCF8	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	183	IPR029499	2..180
A0A2V6LL06	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	70	IPR029499	2..67
A0A2V6M630	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	181	IPR029499	2..179
A0A2V6MTP6	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	182	IPR029499	2..178
A0A2V6MZD2	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	175	IPR029499	2..173
A0A2V6N2B3	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	177	IPR029499	1..171
A0A2V6N3U9	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	182	IPR029499	2..176
A0A2V6NQT3	unreviewed	Corrinoid adenosyltransferase	2026799	Verrucomicrobiota bacterium	183	IPR029499	2..177
A0A2V6P569	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	204	IPR029499	4..193
A0A2V6Q728	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	211	IPR029499	5..193
A0A2V6Q919	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	5..197
A0A2V6QCQ1	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	5..197
A0A2V6QQD0	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6R646	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	204	IPR029499	4..193
A0A2V6RN77	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	203	IPR029499	4..193
A0A2V6RX50	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6T3T0	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	203	IPR029499	4..193
A0A2V6T4C4	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	203	IPR029499	4..193
A0A2V6TPC4	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	201	IPR029499	2..191
A0A2V6TW57	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	205	IPR029499	5..193
A0A2V6UJ17	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	5..197
A0A2V6UK02	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	204	IPR029499	4..193
A0A2V6UV78	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	4..193
A0A2V6VT66	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6W1T4	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	207	IPR029499	3..195
A0A2V6XAG9	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	210	IPR029499	5..197
A0A2V6XCK1	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6YTE9	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	5..193
A0A2V6Z047	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6Z720	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V6ZCY3	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	5..193
A0A2V7A9E7	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V7B4U4	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	4..193
A0A2V7BC38	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	4..193
A0A2V7C5M6	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V7CET5	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V7DFH4	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	5..193
A0A2V7DL06	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	5..197
A0A2V7E1C3	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	208	IPR029499	4..193
A0A2V7ERJ2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7FBN6	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	206	IPR029499	4..193
A0A2V7FQ14	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	203	IPR029499	4..193
A0A2V7FUG2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7FYM3	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7GAT5	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	182	IPR029499	2..182
A0A2V7H046	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	182	IPR029499	2..182
A0A2V7H1C3	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7H6U3	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7HG14	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	82	IPR029499	5..82
A0A2V7HQA8	unreviewed	Corrinoid adenosyltransferase	2053607	Candidatus Rokuibacteriota bacterium	203	IPR029499	4..193
A0A2V7IHV8	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	182	IPR029499	2..182
A0A2V7IN70	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	182	IPR029499	2..182
A0A2V7IU86	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7J3Y2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7JT18	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7JXH8	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7KKI4	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7KWD3	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	178	IPR029499	2..178
A0A2V7L617	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7LHI6	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7LRM2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7MD39	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7MNI0	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7MUC5	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7N8H7	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7NS72	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7NZZ4	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7PUP9	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7Q003	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7Q6V0	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7QJC2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7QRY5	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7R1S6	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7RCY4	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	183	IPR029499	2..183
A0A2V7S191	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	194	IPR029499	7..194
A0A2V7SG10	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	182	IPR029499	2..182
A0A2V7SRX2	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	181	IPR029499	2..181
A0A2V7TC07	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	185	IPR029499	2..185
A0A2V7TGY7	unreviewed	Corrinoid adenosyltransferase	2026742	Gemmatimonadota bacterium	176	IPR029499	2..175
A0A2V7TYY8	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..180
A0A2V7TZZ3	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	208	IPR029499	5..197
A0A2V7UT42	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	199	IPR029499	2..183
A0A2V7V403	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..180
A0A2V7VAR9	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	181	IPR029499	2..181
A0A2V7VBM5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	109	IPR029499	2..109
A0A2V7WA58	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	173	IPR029499	2..172
A0A2V7WHY5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	174	IPR029499	2..172
A0A2V7XT90	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	175	IPR029499	2..173
A0A2V7Y4H8	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..180
A0A2V7YHH4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..177
A0A2V7Z765	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	188	IPR029499	4..185
A0A2V8AQP2	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8BCU9	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8BX94	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8C0K9	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	82	IPR029499	9..82
A0A2V8CH68	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8DNP5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8DV10	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	191	IPR029499	2..177
A0A2V8E4Y5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8ENG0	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8FM00	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	191	IPR029499	2..179
A0A2V8FSL7	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	133	IPR029499	2..133
A0A2V8G029	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	178	IPR029499	2..178
A0A2V8GTH5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	120	IPR029499	2..119
A0A2V8HRU9	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	182	IPR029499	2..182
A0A2V8HXA4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	179	IPR029499	2..179
A0A2V8I2L3	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	38	IPR029499	2..38
A0A2V8IAC3	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	132	IPR029499	1..130
A0A2V8IC72	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	132	IPR029499	3..132
A0A2V8IHH4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	192	IPR029499	2..175
A0A2V8J2S1	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	183	IPR029499	2..183
A0A2V8JJW1	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	179	IPR029499	2..179
A0A2V8JJW8	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..180
A0A2V8KZF5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..180
A0A2V8MSE3	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	179	IPR029499	2..179
A0A2V8NZC4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	179	IPR029499	2..179
A0A2V8PYK4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..175
A0A2V8RQF6	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	192	IPR029499	2..177
A0A2V8S3D0	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	167	IPR029499	1..154
A0A2V8SIV5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	198	IPR029499	5..189
A0A2V8TLK2	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	116	IPR029499	2..113
A0A2V8U196	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	195	IPR029499	5..186
A0A2V8UDI4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	213	IPR029499	10..201
A0A2V8V3V4	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	217	IPR029499	12..205
A0A2V8VQY5	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	194	IPR029499	5..187
A0A2V9IJ93	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	186	IPR029499	2..179
A0A2V9IL76	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	190	IPR029499	2..176
A0A2V9IYF1	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	186	IPR029499	2..179
A0A2V9JEG7	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	190	IPR029499	3..177
A0A2V9KP17	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	191	IPR029499	2..177
A0A2V9MUY0	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	190	IPR029499	2..177
A0A2V9MX64	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..179
A0A2V9RAX0	unreviewed	Corrinoid adenosyltransferase	1978231	Acidobacteriota bacterium	180	IPR029499	2..179
A0A2W0CES1	unreviewed	Corrinoid adenosyltransferase	59845	Paenibacillus illinoisensis	191	IPR029499	3..183
A0A2W0EKD3	unreviewed	Corrinoid adenosyltransferase	77298	Pseudomonas jessenii	159	IPR029499	4..150
A0A2W0FPJ4	unreviewed	Corrinoid adenosyltransferase	2052591	Pseudomonas sp. TKO29	195	IPR029499	4..187
A0A2W0HBB8	unreviewed	Corrinoid adenosyltransferase	2045244	Alteribacter lacisalsi	185	IPR029499	2..179
A0A2W1AMN5	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	187	IPR029499	2..174
A0A2W1AZJ3	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	199	IPR029499	14..190
A0A2W1B1N2	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	189	IPR029499	3..175
A0A2W1B3L4	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	202	IPR029499	15..192
A0A2W1B985	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	186	IPR029499	2..173
A0A2W1JZB4	unreviewed	Corrinoid adenosyltransferase	2218606	Mesonia sp. K7	194	IPR029499	2..185
A0A2W1LUH9	unreviewed	Corrinoid adenosyltransferase	1803190	Paenibacillus sambharensis	191	IPR029499	2..179
A0A2W1MZB7	unreviewed	Corrinoid adenosyltransferase	2219161	Putridiphycobacter roseus	183	IPR029499	2..178
A0A2W1N287	unreviewed	Corrinoid adenosyltransferase	2213080	Pseudomonas sp. 57B-090624	191	IPR029499	4..187
A0A2W1NXN4	unreviewed	Corrinoid adenosyltransferase	1977292	Paenibacillus xerothermodurans	188	IPR029499	2..180
A0A2W2AF21	unreviewed	Corrinoid adenosyltransferase	1649169	Taibaiella soli	186	IPR029499	3..182
A0A2W2AU95	unreviewed	Corrinoid adenosyltransferase	2650924	Aestuariivirga litoralis	195	IPR029499	5..189
A0A2W2B5G4	unreviewed	Corrinoid adenosyltransferase	2670374	Jiangella anatolica	208	IPR029499	3..192
A0A2W2D480	unreviewed	Corrinoid adenosyltransferase	515350	Micromonospora endophytica	190	IPR029499	4..179
A0A2W2E928	unreviewed	Corrinoid adenosyltransferase	1655439	Micromonospora craterilacus	190	IPR029499	4..179
A0A2W2EU91	unreviewed	Corrinoid adenosyltransferase	2070368	Nonomuraea aridisoli	201	IPR029499	8..184
A0A2W2G9E4	unreviewed	Corrinoid adenosyltransferase	2666298	Spongiactinospora gelatinilytica	197	IPR029499	7..185
A0A2W2MIW5	unreviewed	Corrinoid adenosyltransferase	1735453	Streptomyces sp. NTH33	190	IPR029499	4..181
A0A2W4CVJ9	unreviewed	Corrinoid adenosyltransferase	484088	Rhizobium tubonense	192	IPR029499	3..186
A0A2W4J2H5	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	200	IPR029499	7..195
A0A2W4JEY8	unreviewed	Corrinoid adenosyltransferase	1883427	Actinomycetes bacterium	192	IPR029499	4..180
A0A2W4JG54	unreviewed	Corrinoid adenosyltransferase	37925	Thermocrispum agreste	189	IPR029499	4..179
A0A2W4JS50	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	185	IPR029499	4..179
A0A2W4KL24	unreviewed	Corrinoid adenosyltransferase	1879010	Bacillota bacterium	213	IPR029499	2..180
A0A2W4L2A8	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	195	IPR029499	5..189
A0A2W4L3U6	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	182	IPR029499	2..176
A0A2W4LCU0	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	185	IPR029499	2..179
A0A2W4M1D0	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1879010	Bacillota bacterium	321	IPR029499	2..179
A0A2W4MAZ7	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	187	IPR029499	4..180
A0A2W4N7F7	unreviewed	Corrinoid adenosyltransferase	1879010	Bacillota bacterium	237	IPR029499	42..230
A0A2W4NQV7	unreviewed	Corrinoid adenosyltransferase	2026724	Chloroflexota bacterium	180	IPR029499	2..179
A0A2W4QLM6	unreviewed	Corrinoid adenosyltransferase	2202197	Candidatus Methylumidiphilus alinenensis	180	IPR029499	4..176
A0A2W4QPZ5	unreviewed	Corrinoid adenosyltransferase	1879010	Bacillota bacterium	191	IPR029499	7..184
A0A2W4R5A5	unreviewed	Corrinoid adenosyltransferase	1898104	Bacteroidota bacterium	183	IPR029499	2..179
A0A2W4RXQ1	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	193	IPR029499	5..187
A0A2W4RZ88	unreviewed	Corrinoid adenosyltransferase	1869227	bacterium	188	IPR029499	2..184
A0A2W4SL27	unreviewed	Corrinoid adenosyltransferase	1913988	Alphaproteobacteria bacterium	184	IPR029499	3..174
A0A2W4SV30	unreviewed	Corrinoid adenosyltransferase	1909294	Hyphomicrobiales bacterium	193	IPR029499	3..185
A0A2W4SXS8	unreviewed	Corrinoid adenosyltransferase	1977087	Pseudomonadota bacterium	188	IPR029499	4..180
